customer_id,level,source,event_id,description,occurrence_count,safety_keyword
mr176887,I,MRI_HEC,1032,Helium compressor unit is running.,106735,helium
mr176887,I,MRI_FRR,278,Emergency docking released.,106720,emergency
mr176887,I,DeveloperLog_DevLogService,0,ShutdownManagement.Shutdown - Point of no return -> ShutdownExecute,5592,shutdown
mr176887,I,DeveloperLog_DevLogService,0,"ShutdownManagement - Executing: Immediate shutdown, as indicated by shutdown type 'Default' - no LCM involvement.",4832,shutdown
mr176887,E,MRI_RFS,8,SAR limit(s) exceeded.,4516,sar limit
mr176887,I,DeveloperLog_DevLogService,0,RequestShutdownDelaysForPendingActivities: There are no more pending activities.,3949,shutdown
mr176887,I,DeveloperLog_DevLogService,0,ShutdownService.CancelShutdownDelayRequest: Removed Shutdown Delay Request: requestId=PendingShutdownActivities_<GUID>,3949,shutdown
mr176887,I,DeveloperLog_DevLogService,0,"ShutdownService.RequestShutdownDelayInternal: Adding Shutdown Delay Request: requestId=PendingShutdownActivities_<GUID>, requestInfo=PendingShutdownActivities",3946,shutdown
mr177658,I,MRI_HEC,1017,Helium compressor bypass solenoid valve closed.,210186,helium
mr177658,I,MRI_HEC,1032,Helium compressor unit is running.,210186,helium
mr177658,I,MRI_HEC,1031,Helium compressor unit is running in normal mode.,210184,helium
mr177658,I,MRI_HEC,1023,Helium compressor Daily log has updated.,177708,helium
mr177658,I,MRI_FRR,278,Emergency docking released.,174489,emergency
mr177658,S,MRI_FRR,278,Emergency docking released.,77609,emergency
mr177658,I,DeveloperLog_DevLogService,0,RequestShutdownDelaysForPendingActivities: There are no more pending activities.,58725,shutdown
mr177658,I,DeveloperLog_DevLogService,0,ShutdownService.CancelShutdownDelayRequest: Removed Shutdown Delay Request: requestId=PendingShutdownActivities_<GUID>,58725,shutdown
mr177658,I,DeveloperLog_DevLogService,0,"ShutdownService.RequestShutdownDelayInternal: Adding Shutdown Delay Request: requestId=PendingShutdownActivities_<GUID>, requestInfo=PendingShutdownActivities",58714,shutdown
mr177658,I,MRI_HEC,1022,Helium compressor Weekly log has updated.,37946,helium
mr177658,I,_unknown,0,"ShutdownService.RequestShutdownDelayInternal: Adding Shutdown Delay Request: requestId=PendingShutdownActivities_<GUID>, requestInfo=PendingShutdownActivities",26198,shutdown
mr177658,I,_unknown,0,RequestShutdownDelaysForPendingActivities: There are no more pending activities.,26192,shutdown
mr177658,I,_unknown,0,ShutdownService.CancelShutdownDelayRequest: Removed Shutdown Delay Request: requestId=PendingShutdownActivities_<GUID>,26192,shutdown
mr177658,I,DeveloperLog_DevLogService,0,ShutdownManagement.Shutdown - Point of no return -> ShutdownExecute,21273,shutdown
mr177658,I,DeveloperLog_DevLogService,0,"ShutdownManagement - Executing: Immediate shutdown, as indicated by shutdown type 'Default' - no LCM involvement.",20268,shutdown
mr177658,E,MRI_RFS,8,SAR limit(s) exceeded.,13991,sar limit
mr183848,I,MRI_HEC,1031,Helium compressor unit is running in normal mode.,130319,helium
mr183848,I,MRI_HEC,1032,Helium compressor unit is running.,130318,helium
mr183848,I,MRI_HEC,1017,Helium compressor bypass solenoid valve closed.,130317,helium
mr183848,I,MRI_FRR,278,Emergency docking released.,121939,emergency
mr183848,S,MRI_FRR,278,Emergency docking released.,9637,emergency
mr183848,E,MRI_RFS,8,SAR limit(s) exceeded.,5080,sar limit
mr183848,I,DeveloperLog_DevLogService,0,ShutdownManagement.Shutdown - Point of no return -> ShutdownExecute,4510,shutdown
mr188001,I,MRI_HEC,1031,Helium compressor unit is running in normal mode.,495935,helium
mr188001,I,MRI_HEC,1017,Helium compressor bypass solenoid valve closed.,495925,helium
mr188001,I,MRI_HEC,1032,Helium compressor unit is running.,495925,helium
mr188001,I,MRI_FRR,278,Emergency docking released.,495864,emergency
mr188001,I,DeveloperLog_DevLogService,0,"ShutdownService.RequestShutdownDelayInternal: Adding Shutdown Delay Request: requestId=PendingShutdownActivities_<GUID>, requestInfo=PendingShutdownActivities",360550,shutdown
mr188001,I,DeveloperLog_DevLogService,0,RequestShutdownDelaysForPendingActivities: There are no more pending activities.,360402,shutdown
mr188001,I,DeveloperLog_DevLogService,0,ShutdownService.CancelShutdownDelayRequest: Removed Shutdown Delay Request: requestId=PendingShutdownActivities_<GUID>,360401,shutdown
